area,sex,age_group,population
Pasir Panjang 1,male,90andover,-
Pasir Panjang 2,male,90andover,10
Port,male,90andover,-
Queensway,male,90andover,-
Singapore Polytechnic,male,90andover,-
Tanglin Halt,male,90andover,40
River Valley - Total,male,90andover,20
Institution Hill,male,90andover,-
Leonie Hill,male,90andover,-
One Tree Hill,male,90andover,10
Oxley,male,90andover,10
Paterson,male,90andover,-
Rochor - Total,male,90andover,130
Bencoolen,male,90andover,10
Farrer Park,male,90andover,30
Kampong Glam,male,90andover,20
Little India,male,90andover,40
Mackenzie,male,90andover,-
Mount Emily,male,90andover,10
Rochor Canal,male,90andover,-
Selegie,male,90andover,-
Sungei Road,male,90andover,-
Victoria,male,90andover,20
Seletar - Total,male,90andover,-
Pulau Punggol Barat,male,90andover,-
Pulau Punggol Timor,male,90andover,-
Seletar,male,90andover,-
Seletar Aerospace Park,male,90andover,-
Sembawang - Total,male,90andover,70
Admiralty,male,90andover,10
Sembawang Central,male,90andover,20
Sembawang East,male,90andover,10
Sembawang North,male,90andover,20
Sembawang Springs,male,90andover,10
Sembawang Straits,male,90andover,-
Senoko North,male,90andover,-
Senoko South,male,90andover,-
The Wharves,male,90andover,-
Sengkang - Total,male,90andover,150
Anchorvale,male,90andover,20
Compassvale,male,90andover,10
Fernvale,male,90andover,40
Lorong Halus North,male,90andover,-
Rivervale,male,90andover,40
Sengkang Town Centre,male,90andover,40
Sengkang West,male,90andover,-
Serangoon - Total,male,90andover,230
Lorong Chuan,male,90andover,20
Seletar Hills,male,90andover,20
Serangoon Central,male,90andover,50
Serangoon Garden,male,90andover,100
Serangoon North,male,90andover,10
Serangoon North Ind Estate,male,90andover,-
Upper Paya Lebar,male,90andover,30
Simpang - Total,male,90andover,-
Pulau Seletar,male,90andover,-
Simpang North,male,90andover,-
Simpang South,male,90andover,-
Tanjong Irau,male,90andover,-
Singapore River - Total,male,90andover,10
Boat Quay,male,90andover,-
Clarke Quay,male,90andover,10
Robertson Quay,male,90andover,-
Southern Islands - Total,male,90andover,-
Sentosa,male,90andover,-
Southern Group,male,90andover,-
Straits View - Total,male,90andover,-
Straits View,male,90andover,-
Sungei Kadut - Total,male,90andover,-
Gali Batu,male,90andover,-
Kranji,male,90andover,-
Pang Sua,male,90andover,-
Reservoir View,male,90andover,-
Turf Club,male,90andover,-
Tampines - Total,male,90andover,290
Simei,male,90andover,60
Tampines East,male,90andover,140
Tampines North,male,90andover,10
Tampines West,male,90andover,70
Xilin,male,90andover,-
Tanglin - Total,male,90andover,50
Chatsworth,male,90andover,10
Nassim,male,90andover,30
Ridout,male,90andover,10
Tyersall,male,90andover,10
Tengah - Total,male,90andover,-
Brickland,male,90andover,-
Forest Hill,male,90andover,-
Garden,male,90andover,-
Park,male,90andover,-
Plantation,male,90andover,-
Tengah Industrial Estate,male,90andover,-
Toa Payoh - Total,male,90andover,350
Bidadari,male,90andover,-
Boon Teck,male,90andover,60
Braddell,male,90andover,30
Joo Seng,male,90andover,20
Kim Keat,male,90andover,20
Lorong 8 Toa Payoh,male,90andover,20
Pei Chun,male,90andover,30
Potong Pasir,male,90andover,10
Sennett,male,90andover,30
Toa Payoh Central,male,90andover,80
Toa Payoh West,male,90andover,40
Woodleigh,male,90andover,-
Tuas - Total,male,90andover,-
Tengeh,male,90andover,-
Tuas Bay,male,90andover,-
Tuas North,male,90andover,-
Tuas Promenade,male,90andover,-
Tuas View,male,90andover,-
Tuas View Extension,male,90andover,-
Western Islands - Total,male,90andover,-
Jurong Island And Bukom,male,90andover,-
Semakau,male,90andover,-
Sudong,male,90andover,-
Western Water Catchment - Total,male,90andover,-
Bahar,male,90andover,-
Cleantech,male,90andover,-
Murai,male,90andover,-
Woodlands - Total,male,90andover,180
Greenwood Park,male,90andover,-
Midview,male,90andover,30
North Coast,male,90andover,10
Senoko West,male,90andover,-
Woodgrove,male,90andover,30
Woodlands East,male,90andover,50
Woodlands Regional Centre,male,90andover,-
Woodlands South,male,90andover,20
Woodlands West,male,90andover,40
Yishun - Total,male,90andover,210
Khatib,male,90andover,10
Lower Seletar,male,90andover,10
Nee Soon,male,90andover,-
Northland,male,90andover,30
Springleaf,male,90andover,10
Yishun Central,male,90andover,-
Yishun East,male,90andover,30
Yishun South,male,90andover,50
Yishun West,male,90andover,70
Total,female,fetotal,2066650
Ang Mo Kio - Total,female,fetotal,84700
Ang Mo Kio Town Centre,female,fetotal,2550
Cheng San,female,fetotal,14600
Chong Boon,female,fetotal,13640
Kebun Bahru,female,fetotal,11970
Sembawang Hills,female,fetotal,3650
Shangri-La,female,fetotal,8180
Tagore,female,fetotal,4160
Townsville,female,fetotal,11210
Yio Chu Kang,female,fetotal,-
Yio Chu Kang East,female,fetotal,2120
Yio Chu Kang North,female,fetotal,-
Yio Chu Kang West,female,fetotal,12630
Bedok - Total,female,fetotal,142790
Bayshore,female,fetotal,3870
Bedok North,female,fetotal,42140
Bedok Reservoir,female,fetotal,12990
Bedok South,female,fetotal,24160
Frankel,female,fetotal,18230
Kaki Bukit,female,fetotal,18940
Kembangan,female,fetotal,19010
Siglap,female,fetotal,3460
Bishan - Total,female,fetotal,45060
Bishan East,female,fetotal,14880
Marymount,female,fetotal,14940
Upper Thomson,female,fetotal,15230
Boon Lay - Total,female,fetotal,-
Liu Fang,female,fetotal,-
Samulun,female,fetotal,-
Shipyard,female,fetotal,-
Tukang,female,fetotal,-
Bukit Batok - Total,female,fetotal,80550
Brickworks,female,fetotal,10020
Bukit Batok Central,female,fetotal,14000
Bukit Batok East,female,fetotal,6410
Bukit Batok South,female,fetotal,7570
Bukit Batok West,female,fetotal,7700
Gombak,female,fetotal,5090
Guilin,female,fetotal,6650
Hillview,female,fetotal,10000
Hong Kah North,female,fetotal,13120
Bukit Merah - Total,female,fetotal,78520
Alexandra Hill,female,fetotal,6860
Alexandra North,female,fetotal,1400
Bukit Ho Swee,female,fetotal,7340
Bukit Merah,female,fetotal,570
City Terminals,female,fetotal,-
Depot Road,female,fetotal,3450
Everton Park,female,fetotal,4120
Henderson Hill,female,fetotal,6830
Kampong Tiong Bahru,female,fetotal,4560
Maritime Square,female,fetotal,1850
Redhill,female,fetotal,5470
Singapore General Hospital,female,fetotal,-
Telok Blangah Drive,female,fetotal,10140
Telok Blangah Rise,female,fetotal,6420
Telok Blangah Way,female,fetotal,4620
Tiong Bahru,female,fetotal,6900
Tiong Bahru Station,female,fetotal,7980
Bukit Panjang - Total,female,fetotal,70120
Bangkit,female,fetotal,11260
Dairy Farm,female,fetotal,3590
Fajar,female,fetotal,13950
Jelebu,female,fetotal,15940
Nature Reserve,female,fetotal,2040
Saujana,female,fetotal,13090
Senja,female,fetotal,10260
Bukit Timah - Total,female,fetotal,41880
Anak Bukit,female,fetotal,11500
Coronation Road,female,fetotal,3650
Farrer Court,female,fetotal,3280
Hillcrest,female,fetotal,5300
Holland Road,female,fetotal,6040
Leedon Park,female,fetotal,3480
Swiss Club,female,fetotal,2880
Ulu Pandan,female,fetotal,5740
Central Water Catchment - Total,female,fetotal,-
Central Water Catchment,female,fetotal,-
Changi- Total,female,fetotal,890
Changi Airport,female,fetotal,-
Changi Point,female,fetotal,240
Changi West,female,fetotal,650
Changi Bay - Total,female,fetotal,-
Changi Bay,female,fetotal,-
Choa Chu Kang - Total,female,fetotal,96380
Choa Chu Kang Central,female,fetotal,11340
Choa Chu Kang North,female,fetotal,16070
Keat Hong,female,fetotal,19170
Peng Siang,female,fetotal,17390
Teck Whye,female,fetotal,12140
Yew Tee,female,fetotal,20280
Clementi - Total,female,fetotal,48360
Clementi Central,female,fetotal,7400
Clementi North,female,fetotal,15410
Clementi West,female,fetotal,7950
Clementi Woods,female,fetotal,8340
Faber,female,fetotal,2740
Pandan,female,fetotal,-
Sunset Way,female,fetotal,3010
Toh Tuck,female,fetotal,-
West Coast,female,fetotal,3500
Downtown Core - Total,female,fetotal,1600
Anson,female,fetotal,-
Bayfront Subzone,female,fetotal,-
Bugis,female,fetotal,450
Cecil,female,fetotal,130
Central Subzone,female,fetotal,470
City Hall,female,fetotal,-
Clifford Pier,female,fetotal,-
Marina Centre,female,fetotal,-
Maxwell,female,fetotal,-
Nicoll,female,fetotal,140
Phillip,female,fetotal,-
Raffles Place,female,fetotal,-
Tanjong Pagar,female,fetotal,320
Geylang - Total,female,fetotal,55860
Aljunied,female,fetotal,20250
Geylang East,female,fetotal,15380
Kallang Way,female,fetotal,-
Kampong Ubi,female,fetotal,5910
Macpherson,female,fetotal,14300
Hougang - Total,female,fetotal,116070
Defu Industrial Park,female,fetotal,-
Hougang Central,female,fetotal,2370
Hougang East,female,fetotal,12810
Hougang West,female,fetotal,23050
Kangkar,female,fetotal,16540
Kovan,female,fetotal,12840
Lorong Ah Soo,female,fetotal,17050
Lorong Halus,female,fetotal,-
Tai Seng,female,fetotal,7160
Trafalgar,female,fetotal,24240
Jurong East - Total,female,fetotal,39670
International Business Park,female,fetotal,-
Jurong Gateway,female,fetotal,240
Jurong Port,female,fetotal,-
Jurong River,female,fetotal,-
Lakeside (Business),female,fetotal,-
Lakeside (Leisure),female,fetotal,500
Penjuru Crescent,female,fetotal,-
Teban Gardens,female,fetotal,9280
Toh Guan,female,fetotal,7360
Yuhua East,female,fetotal,12650
Yuhua West,female,fetotal,9630
Jurong West - Total,female,fetotal,130840
Boon Lay Place,female,fetotal,14270
Chin Bee,female,fetotal,-
Hong Kah,female,fetotal,27230
Jurong West Central,female,fetotal,31950
Kian Teck,female,fetotal,-
Safti,female,fetotal,-
Taman Jurong,female,fetotal,20000
Wenya,female,fetotal,4110
Yunnan,female,fetotal,33250
Kallang - Total,female,fetotal,51260
Bendemeer,female,fetotal,19330
Boon Keng,female,fetotal,6160
Crawford,female,fetotal,3750
Geylang Bahru,female,fetotal,5660
Kallang Bahru,female,fetotal,-
Kampong Bugis,female,fetotal,460
Kampong Java,female,fetotal,5390
Lavender,female,fetotal,4610
Tanjong Rhu,female,fetotal,5880
Lim Chu Kang - Total,female,fetotal,50
Lim Chu Kang,female,fetotal,50
Mandai - Total,female,fetotal,1100
Mandai East,female,fetotal,-
Mandai Estate,female,fetotal,1100
Mandai West,female,fetotal,-
Marina East - Total,female,fetotal,-
Marina East,female,fetotal,-
Marina South - Total,female,fetotal,-
Marina South,female,fetotal,-
Marine Parade - Total,female,fetotal,24520
East Coast,female,fetotal,-
Katong,female,fetotal,4910
Marina East (Mp),female,fetotal,-
Marine Parade,female,fetotal,14350
Mountbatten,female,fetotal,5260
Museum - Total,female,fetotal,250
Bras Basah,female,fetotal,-
Dhoby Ghaut,female,fetotal,160
Fort Canning,female,fetotal,90
Newton - Total,female,fetotal,4310
Cairnhill,female,fetotal,2060
Goodwood Park,female,fetotal,660
Istana Negara,female,fetotal,-
Monk's Hill,female,fetotal,510
Newton Circus,female,fetotal,110
Orange Grove,female,fetotal,950
North-Eastern Islands - Total,female,fetotal,-
North-Eastern Islands,female,fetotal,-
Novena - Total,female,fetotal,25400
Balestier,female,fetotal,16760
Dunearn,female,fetotal,2150
Malcolm,female,fetotal,1570
Moulmein,female,fetotal,4580
Mount Pleasant,female,fetotal,340
Orchard - Total,female,fetotal,490
Boulevard,female,fetotal,200
Somerset,female,fetotal,80
Tanglin,female,fetotal,210
Outram - Total,female,fetotal,9130
China Square,female,fetotal,760
Chinatown,female,fetotal,5450
Pearl's Hill,female,fetotal,2750
People's Park,female,fetotal,160
Pasir Ris - Total,female,fetotal,74570
Flora Drive,female,fetotal,7470
Loyang East,female,fetotal,1080
Loyang West,female,fetotal,120
Pasir Ris Central,female,fetotal,16490
Pasir Ris Drive,female,fetotal,27480
Pasir Ris Park,female,fetotal,3860
Pasir Ris Wafer Fab Park,female,fetotal,-
Pasir Ris West,female,fetotal,18070
Paya Lebar - Total,female,fetotal,-
Airport Road,female,fetotal,-
Paya Lebar East,female,fetotal,-
Paya Lebar North,female,fetotal,-
Paya Lebar West,female,fetotal,-
Plab,female,fetotal,-
Pioneer - Total,female,fetotal,-
Benoi Sector,female,fetotal,-
Gul Basin,female,fetotal,-
Gul Circle,female,fetotal,-
Joo Koon,female,fetotal,-
Pioneer Sector,female,fetotal,-
Punggol - Total,female,fetotal,88520
Coney Island,female,fetotal,-
Matilda,female,fetotal,26590
Northshore,female,fetotal,220
Punggol Canal,female,fetotal,-
Punggol Field,female,fetotal,24840
Punggol Town Centre,female,fetotal,11340
Waterway East,female,fetotal,25530
Queenstown - Total,female,fetotal,50820
Commonwealth,female,fetotal,3770
Dover,female,fetotal,5820
Ghim Moh,female,fetotal,7380
Holland Drive,female,fetotal,6920
Kent Ridge,female,fetotal,-
Margaret Drive,female,fetotal,8380
Mei Chin,female,fetotal,8210
National University Of S'pore,female,fetotal,170
One North,female,fetotal,370
Pasir Panjang 1,female,fetotal,2300
Pasir Panjang 2,female,fetotal,1570
Port,female,fetotal,60
Queensway,female,fetotal,140
Singapore Polytechnic,female,fetotal,-
Tanglin Halt,female,fetotal,5630
River Valley - Total,female,fetotal,5450
Institution Hill,female,fetotal,1650
Leonie Hill,female,fetotal,1690
One Tree Hill,female,fetotal,1150
Oxley,female,fetotal,820
Paterson,female,fetotal,130
Rochor - Total,female,fetotal,6590
Bencoolen,female,fetotal,690
Farrer Park,female,fetotal,1310
Kampong Glam,female,fetotal,40
Little India,female,fetotal,1580
Mackenzie,female,fetotal,50
Mount Emily,female,fetotal,860
Rochor Canal,female,fetotal,-
Selegie,female,fetotal,100
Sungei Road,female,fetotal,1030
Victoria,female,fetotal,920
Seletar - Total,female,fetotal,160
Pulau Punggol Barat,female,fetotal,-
Pulau Punggol Timor,female,fetotal,-
Seletar,female,fetotal,150
Seletar Aerospace Park,female,fetotal,-
Sembawang - Total,female,fetotal,51930
Admiralty,female,fetotal,7060
Sembawang Central,female,fetotal,17740
Sembawang East,female,fetotal,8790
Sembawang North,female,fetotal,12790
Sembawang Springs,female,fetotal,4610
Sembawang Straits,female,fetotal,930
Senoko North,female,fetotal,-
Senoko South,female,fetotal,-
The Wharves,female,fetotal,-
Sengkang - Total,female,fetotal,126890
Anchorvale,female,fetotal,24420
Compassvale,female,fetotal,10790
Fernvale,female,fetotal,29950
Lorong Halus North,female,fetotal,-
Rivervale,female,fetotal,30230
Sengkang Town Centre,female,fetotal,31500
Sengkang West,female,fetotal,-
Serangoon - Total,female,fetotal,60530
Lorong Chuan,female,fetotal,4400
Seletar Hills,female,fetotal,7460
Serangoon Central,female,fetotal,12960
Serangoon Garden,female,fetotal,18860
Serangoon North,female,fetotal,8100
Serangoon North Ind Estate,female,fetotal,-
Upper Paya Lebar,female,fetotal,8760
Simpang - Total,female,fetotal,-
Pulau Seletar,female,fetotal,-
Simpang North,female,fetotal,-
Simpang South,female,fetotal,-
Tanjong Irau,female,fetotal,-
Singapore River - Total,female,fetotal,1730
Boat Quay,female,fetotal,60
Clarke Quay,female,fetotal,50
Robertson Quay,female,fetotal,1610
Southern Islands - Total,female,fetotal,1020
Sentosa,female,fetotal,1020
Southern Group,female,fetotal,-
Straits View - Total,female,fetotal,-
Straits View,female,fetotal,-
Sungei Kadut - Total,female,fetotal,370
Gali Batu,female,fetotal,-
Kranji,female,fetotal,-
Pang Sua,female,fetotal,-
Reservoir View,female,fetotal,-
Turf Club,female,fetotal,340
Tampines - Total,female,fetotal,132900
Simei,female,fetotal,20400
Tampines East,female,fetotal,67010
Tampines North,female,fetotal,4090
Tampines West,female,fetotal,40510
Xilin,female,fetotal,880
Tanglin - Total,female,fetotal,11700
Chatsworth,female,fetotal,3690
Nassim,female,fetotal,5110
Ridout,female,fetotal,830
Tyersall,female,fetotal,2070
Tengah - Total,female,fetotal,-
Brickland,female,fetotal,-
Forest Hill,female,fetotal,-
Garden,female,fetotal,-
Park,female,fetotal,-
Plantation,female,fetotal,-
Tengah Industrial Estate,female,fetotal,-
Toa Payoh - Total,female,fetotal,63960
Bidadari,female,fetotal,-
Boon Teck,female,fetotal,7450
Braddell,female,fetotal,5210
Joo Seng,female,fetotal,4120
Kim Keat,female,fetotal,4130
Lorong 8 Toa Payoh,female,fetotal,3730
Pei Chun,female,fetotal,5420
Potong Pasir,female,fetotal,6060
Sennett,female,fetotal,3720
Toa Payoh Central,female,fetotal,15070
Toa Payoh West,female,fetotal,7780
Woodleigh,female,fetotal,1260
Tuas - Total,female,fetotal,-
Tengeh,female,fetotal,-
Tuas Bay,female,fetotal,-
Tuas North,female,fetotal,-
Tuas Promenade,female,fetotal,-
Tuas View,female,fetotal,-
Tuas View Extension,female,fetotal,-
Western Islands - Total,female,fetotal,-
Jurong Island And Bukom,female,fetotal,-
Semakau,female,fetotal,-
Sudong,female,fetotal,-
Western Water Catchment - Total,female,fetotal,350
Bahar,female,fetotal,-
Cleantech,female,fetotal,-
Murai,female,fetotal,350
Woodlands - Total,female,fetotal,127150
Greenwood Park,female,fetotal,-
Midview,female,fetotal,17610
North Coast,female,fetotal,5970
Senoko West,female,fetotal,-
Woodgrove,female,fetotal,16920
Woodlands East,female,fetotal,49500
Woodlands Regional Centre,female,fetotal,-
Woodlands South,female,fetotal,20470
Woodlands West,female,fetotal,16650
Yishun - Total,female,fetotal,112140
Khatib,female,fetotal,5270
Lower Seletar,female,fetotal,9420
Nee Soon,female,fetotal,450
Northland,female,fetotal,14070
Springleaf,female,fetotal,2190
Yishun Central,female,fetotal,1340
Yishun East,female,fetotal,30640
Yishun South,female,fetotal,21580
Yishun West,female,fetotal,27190
Total,female,fe0-4,89690
Ang Mo Kio - Total,female,fe0-4,2570
Ang Mo Kio Town Centre,female,fe0-4,80
Cheng San,female,fe0-4,490
Chong Boon,female,fe0-4,420
Kebun Bahru,female,fe0-4,350
Sembawang Hills,female,fe0-4,100
Shangri-La,female,fe0-4,260
Tagore,female,fe0-4,110
Townsville,female,fe0-4,340
Yio Chu Kang,female,fe0-4,-
Yio Chu Kang East,female,fe0-4,70
Yio Chu Kang North,female,fe0-4,-
Yio Chu Kang West,female,fe0-4,350
Bedok - Total,female,fe0-4,4810
Bayshore,female,fe0-4,150
Bedok North,female,fe0-4,1310
Bedok Reservoir,female,fe0-4,520
Bedok South,female,fe0-4,730
Frankel,female,fe0-4,770
Kaki Bukit,female,fe0-4,600
Kembangan,female,fe0-4,670
Siglap,female,fe0-4,80
Bishan - Total,female,fe0-4,1320
Bishan East,female,fe0-4,410
Marymount,female,fe0-4,470
Upper Thomson,female,fe0-4,440
Boon Lay - Total,female,fe0-4,-
Liu Fang,female,fe0-4,-
Samulun,female,fe0-4,-
Shipyard,female,fe0-4,-
Tukang,female,fe0-4,-
Bukit Batok - Total,female,fe0-4,3890
Brickworks,female,fe0-4,1300
Bukit Batok Central,female,fe0-4,640
Bukit Batok East,female,fe0-4,180
Bukit Batok South,female,fe0-4,330
Bukit Batok West,female,fe0-4,330
Gombak,female,fe0-4,190
Guilin,female,fe0-4,210
Hillview,female,fe0-4,270
Hong Kah North,female,fe0-4,430
Bukit Merah - Total,female,fe0-4,2920
Alexandra Hill,female,fe0-4,190
Alexandra North,female,fe0-4,90
Bukit Ho Swee,female,fe0-4,230
Bukit Merah,female,fe0-4,20
City Terminals,female,fe0-4,-
Depot Road,female,fe0-4,190
Everton Park,female,fe0-4,100
Henderson Hill,female,fe0-4,220
Kampong Tiong Bahru,female,fe0-4,100
Maritime Square,female,fe0-4,100
Redhill,female,fe0-4,230
Singapore General Hospital,female,fe0-4,-
Telok Blangah Drive,female,fe0-4,560
Telok Blangah Rise,female,fe0-4,160
Telok Blangah Way,female,fe0-4,120
Tiong Bahru,female,fe0-4,340
Tiong Bahru Station,female,fe0-4,290
Bukit Panjang - Total,female,fe0-4,3060
Bangkit,female,fe0-4,330
Dairy Farm,female,fe0-4,160
Fajar,female,fe0-4,720
Jelebu,female,fe0-4,470
Nature Reserve,female,fe0-4,80
Saujana,female,fe0-4,750
Senja,female,fe0-4,550
Bukit Timah - Total,female,fe0-4,1630
Anak Bukit,female,fe0-4,330
Coronation Road,female,fe0-4,150
Farrer Court,female,fe0-4,150
Hillcrest,female,fe0-4,250
Holland Road,female,fe0-4,250
Leedon Park,female,fe0-4,150
Swiss Club,female,fe0-4,130
Ulu Pandan,female,fe0-4,210
